Serial,ClientName,DBA,Active_on_OEMAcc
4468,MARTIN'S GARAGE INC.,,0
4469,MARTIN FORD SALES INC.,,0
4471,TILL'S GARAGE INC.,,0
4472,DELZELL BROTHERS INC.,,0
4475,BACON CHEVROLET INC.,,0
4476,BACON AUTO COUNTRY INC.,,0
4477,BACON AUTO RANCH,,0
4478,GOUND CHEVROLET COMPANY,,0
4481,SHEPHERD'S CDJR INC.,,0
4487,CREECH INC.,,0
4494,MILDENBERGER MOTORS,,0
4495,CONTINENTAL MOTORS LTD.,PEUGEOT BERMUDA,0
4496,REAL AUTO B.V.,,0
4497,AUTO TRADE LTD.,,0
4498,PURSCH MOTORS INC.,,0
4499,BETTER WAY FORD LLC,CASCO BAY FORD,0
4500,NOBLE AUTOMOTIVE LTD.,,0
4501,REAL AUTO SASU,,0
4502,Trading International Group Inc. (TIC),,0
4503,NOBLE ENTERPRISES,,0
4505,KEAST FORD LINCOLN MERCURY INC.,KEAST AUTO CENTER,0
4507,CLASSIC CHEVROLET WEST LLC,CLASSIC ELITE CHEVROLET ,0
4508,SUNFAIR CHEVROLET INC.,HARVEST CHEVROLET,0
4509,JANSEN CHEVROLET CO. INC,,0
4510,JACK POWELL FORD MERCURY INC.,JACK POWELL FORD ,0
4511,LIFESTYLE MOTORS LIMITED,,0
4512,LIFESTYLE MOTORS LIMITED,,0
4513,HARVEST HONDA,,0
4514,PACIFIC AUTOMOTIVE HOLDINGS INC,ELK GROVE BUICK GMC,0
4517,GROSS CDJR INC. ,GROSS CHRYSLER DODGE JEEP RAM OF NEILLSVILLE,0
4518,CROWN NISSAN - CROWN AUTO DEALERSHIPS INC.,CROWN NISSAN,0
4519,CROWN HYUNDAI - CROWN AUTO DEALERSHIPS INC.,CROWN HYUNDAI,0
4520,CROWN BUICK GMC,CROWN BUICK GMC,0
4521,CROWN AUTO DEALERSHIPS INC.,CROWN KIA ,0
4523,CROWN AUTO DEALERSHIPS INC.,JAGUAR LANDROVER ST. PETERSBURG,0
4524,CROWN HONDA - CROWN AUTO DEALERSHIPS INC.,CROWN HONDA,0
4525,CROWN EUROCARS INC.,CROWN EUROCARS PINELLAS PARK,0
4526,CROWN VC LLC,CROWN VOLVO CARS,0
4527,CROWN MOTORS OF CLEARWATER INC.,CROWN ACURA,0
4528,CROWN EUROCARS INC.,AUDI CLEARWATER,0
4529,CAPITAL EUROCARS INC,CAPITAL MB PORSCHE,0
4530,CAPITAL BMW - CAPITAL EUROCARS INC.,CAPITAL BMW,0
4531,CAPITAL EUROCARS INC.,CAPITAL VOLKSWAGEN VOLVO,0
4532,CROWN MOTOR COMPANY INC.,CROWN EUROCARS DUBLIN,0
4533,CROWN CHRYSLER JEEP INC.,CROWN CHRYSLER JEEP DODGE RAM DUBLIN,0
4534,CROWN CHRYSLER JEEP INC.,CROWN KIA DUBLIN,0
4535,DUBLIN MOTORS LLC,CROWN FIAT OF DUBLIN,0
4536,CROWN CHATTANOOGA LLC,CROWN CHRYSLER DODGE JEEP RAM FIAT,0
4537,CROWN CLEVELAND LLC,CROWN CHRYSLER DODGE JEEP RAM CLEVELAND,0
