fldId,fldSerialNumber,fldDate,fldUserRef,fldKey,fldCount,Year,Month,Day,Day_of_week
181984640,5235,2025-02-03,511,Deal.Accessories.OEM,2,2025,2,3,Monday
181984669,5235,2025-02-03,512,Deal.Accessories.OEM,5,2025,2,3,Monday
182060182,7415,2025-02-03,1030,Deal.Accessories.OEM,5,2025,2,3,Monday
181984214,5234,2025-02-03,1110,Deal.Accessories.OEM,2,2025,2,3,Monday
181830567,7074,2025-02-03,2331,Deal.Accessories.OEM,1,2025,2,3,Monday
182242047,5644,2025-02-04,-1,Deal.Accessories.OEM,2,2025,2,4,Tuesday
182101731,6173,2025-02-04,139,Deal.Accessories.OEM,1,2025,2,4,Tuesday
182242160,5644,2025-02-04,164,Deal.Accessories.OEM,1,2025,2,4,Tuesday
182242218,5644,2025-02-04,170,Deal.Accessories.OEM,1,2025,2,4,Tuesday
182168145,5560,2025-02-04,198,Deal.Accessories.OEM,1,2025,2,4,Tuesday
182353908,7717,2025-02-04,262,Deal.Accessories.OEM,1,2025,2,4,Tuesday
182434371,5234,2025-02-04,430,Deal.Accessories.OEM,1,2025,2,4,Tuesday
182434422,5234,2025-02-04,439,Deal.Accessories.OEM,2,2025,2,4,Tuesday
182435111,5235,2025-02-04,511,Deal.Accessories.OEM,2,2025,2,4,Tuesday
182538577,7415,2025-02-04,1031,Deal.Accessories.OEM,2,2025,2,4,Tuesday
182842129,3027,2025-02-05,-1,Deal.Accessories.OEM,2,2025,2,5,Wednesday
182568049,3179,2025-02-05,6,Deal.Accessories.OEM,1,2025,2,5,Wednesday
182728108,5332,2025-02-05,32,Deal.Accessories.OEM,1,2025,2,5,Wednesday
182993780,5439,2025-02-05,186,Deal.Accessories.OEM,3,2025,2,5,Wednesday
182820368,7717,2025-02-05,251,Deal.Accessories.OEM,1,2025,2,5,Wednesday
182820487,7717,2025-02-05,262,Deal.Accessories.OEM,1,2025,2,5,Wednesday
182877462,5234,2025-02-05,430,Deal.Accessories.OEM,1,2025,2,5,Wednesday
182877505,5234,2025-02-05,439,Deal.Accessories.OEM,1,2025,2,5,Wednesday
182877717,5234,2025-02-05,496,Deal.Accessories.OEM,2,2025,2,5,Wednesday
182878142,5235,2025-02-05,511,Deal.Accessories.OEM,2,2025,2,5,Wednesday
182878163,5235,2025-02-05,512,Deal.Accessories.OEM,3,2025,2,5,Wednesday
182878253,5235,2025-02-05,524,Deal.Accessories.OEM,2,2025,2,5,Wednesday
